sensor_id,description,unit,info_province,info_municipality,Date,Reading,Temperature
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,01/05/2024 00:00,-493,11.6
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,30/04/2024 12:00,-492,15.4
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,30/04/2024 06:00,-490,10.2
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,30/04/2024 00:00,-486,10.2
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,29/04/2024 18:00,-470,12.7
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,29/04/2024 12:00,-485,13.3
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,29/04/2024 06:00,-501,11.5
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,23/10/2023 06:00,-401,14.8
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,19/10/2023 12:00,-8,21.1
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,20/07/2023 18:00,324,32.1
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,18/07/2023 12:00,656,36.7
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,18/07/2023 06:00,667,21.5
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,18/07/2023 00:00,643,26.6
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,17/07/2023 18:00,637,33.3
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,17/07/2023 12:00,665,31.1
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,16/07/2023 12:00,642,25.7
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,16/07/2023 06:00,632,23.8
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,16/07/2023 00:00,645,24.6
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,15/07/2023 18:00,647,32.5
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,15/07/2023 12:00,625,29.5
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,15/07/2023 06:00,638,22.9
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,14/07/2023 18:00,635,31.8
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,14/07/2023 12:00,633,29.8
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,13/07/2023 18:00,634,32
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,13/07/2023 06:00,649,21.8
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,13/07/2023 00:00,626,23.9
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,12/07/2023 06:00,620,21.2
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,12/07/2023 00:00,624,26.5
